Regex,Frequency,TF-IDF,BM25,Normalized TF-IDF,Normalized BM25
Abasie(s)?,84,127.94,3.34,0.0445,0.3159
Achromatopsie(s)? hystérique(s)?,2,8.39,8.03,0.0013,0.7619
Amblyopie(s)? hystérique(s)?,22,56.93,5.62,0.0188,0.5325
Amyotrophie(s)? protopathique(s)?,0,0,0,0,0
Amyotrophie(s)? symptomatique(s)?,0,0,0,0,0
Analgésie(s)?,334,288.91,1.9,0.1027,0.1792
Anatomie(s)? macroscopique(s)?,4,14.02,7.17,0.0033,0.6803
Anesthésie(s)?,3219,950.34,0.65,0.3417,0.0602
Anévrisme(?:\s+de)?\s+Charcot(?:[-\s]*et[-\s]*|[-\s]*)Bouchard*,0,0,0,0,0
Anévrisme(s)? miliaire(s)?,0,0,0,0,0
Angioneuroses(s)?,0,0,0,0,0
Aphasie(s)?,1020,625.96,1.35,0.2245,0.1268
Apoplexie(s)? spinale(s)?,1,4.89,8.28,0.0,0.7854
Artère(s)? cérébrale(s)? postérieure(s)?,26,70.02,5.86,0.0235,0.5554
Arthrite(s)? déformante(s)?,26,58.53,4.9,0.0194,0.464
Arthropathie(s)? de Charcot,0,0,0,0,0
Arthropathie(s)? des ataxiques,6,22.75,7.94,0.0065,0.7539
Arthropathie(s)? tabétique(s)?,117,263.4,4.94,0.0934,0.4682
Articulations(s)?,1738,495.64,0.63,0.1774,0.0581
Astasie(s)?,84,137.11,3.58,0.0478,0.3387
Ataxie(s)? locomotrice(s)?,173,195.34,2.48,0.0688,0.2342
Ataxie(s)? locomotrice(s)? progressive(s)?,23,51.78,4.89,0.0169,0.4633
Ataxie(s)? progressive(s)?,1,4.89,8.28,0.0,0.7854
Athétose(s)?,452,566.25,2.75,0.2029,0.2603
Atrophie(s)? musculaire(s)? progressive(s)?,197,314.12,3.5,0.1118,0.3315
Attaque(s)?-Accès,3,14.67,9.78,0.0035,0.9285
Attaque(s)? apoplectiforme(s)?,31,60.32,4.24,0.02,0.4016
Attaque(s)? hystérique(s)?,111,122.78,2.43,0.0426,0.2292
Attitude(s)? passionnelles(s)?,40,84.71,4.62,0.0289,0.4382
Attraction(s)?,384,375.68,2.15,0.134,0.2029
Aura(s)? hystérique(s)?,14,43.38,6.67,0.0139,0.633
Automatisme(s)? ambulatoire(s)?,41,95.34,5.08,0.0327,0.4814
Avant-mur(s)?,251,488.42,4.28,0.1748,0.405
Bromure(s)? de camphre(s)?,183,291.8,3.5,0.1037,0.3314
Bulbe(s)? rachidien(s)?,150,256.84,3.76,0.0911,0.3559
Capsule(s)? interne(s)?,1843,2168.8,2.59,0.7822,0.2446
Capsule(s)? surrénale(s)?,150,165.92,2.43,0.0582,0.2294
Catalepsie(s)?,977,641.15,1.44,0.23,0.1357
Cellule(s)? nerveuse(s)?,942,618.18,1.44,0.2217,0.1357
Cerveau(x)?,9029,205.99,0.05,0.0727,0.0032
Charcot-Bouchard,17,40.89,5.2,0.013,0.4929
Charcot-Féré,0,0,0,0,0
Charcot-Marie,204,459.26,4.95,0.1642,0.4687
Charcot-Wilbrand,0,0,0,0,0
Chloroforme(s)?,638,201.38,0.69,0.071,0.0644
Chorée(s)?,1149,374.58,0.72,0.1336,0.0666
Chorée(s)?(?:\s+rythmique(s)?)?(?:\s+hystérique(s)?)?,1149,374.58,0.72,0.1336,0.0666
Cicatrice(s)? vicieuse(s)?,25,77.46,6.74,0.0262,0.6389
Cirrhoses?( des muscles?| du muscle)?,91,141.79,3.42,0.0495,0.3233
Clonus,258,344.43,2.93,0.1227,0.2774
Cœlialgie(s)?,1,4.89,8.28,0.0,0.7854
Compression(s)? de(s)? l'ovaire(s)?,12,32.32,5.78,0.0099,0.5481
Congestion(s)?,1310,260.69,0.44,0.0925,0.04
Contractilité(s)? électrique(s)?,57,105.21,4.04,0.0363,0.3825
Contracture(s)? hystérique(s)? permanente(s)?,4,14.02,7.17,0.0033,0.6803
Contracture(s)? permanente(s)?,51,85.25,3.66,0.029,0.346
Contracture(s)? tardive(s)?,27,75.89,6.12,0.0257,0.58
Contracture(s)? de(s)? uretère(s)?,0,0,0,0,0
Coupe(s)? de Charcot,0,0,0,0,0
Coupe(s)? verticale(s)?,322,371.16,2.53,0.1324,0.2393
Convulsionnaire(s)?,79,98.97,2.75,0.034,0.2595
Convulsion(s)?,3950,472.67,0.26,0.1691,0.0235
Corde(s)? (du|des) tympan(s)?,21,59.03,6.1,0.0196,0.5782
Corps granuleux,137,195.17,3.13,0.0688,0.2958
Corps opto-strié(s)?,66,139.77,4.64,0.0488,0.4394
Courant(s)? électriques(s)?,89,113.87,2.81,0.0394,0.2652
Crise(s)? gastrique(s)?,154,224.28,3.2,0.0793,0.3025
Danse(s)?,832,204.64,0.54,0.0722,0.0499
Décubitus aigu(s)?,2,8.39,8.03,0.0013,0.7619
Dégénération(s)? cireuse(s)?,0,0,0,0,0
Délire(s)?,2232,305.25,0.3,0.1086,0.027
Démarche(s)?,895,228.78,0.56,0.0809,0.0519
Diplopie(s)?,387,356.06,2.02,0.1269,0.1907
Douleurs(s)?,7134,853.69,0.26,0.3068,0.0235
Dynamométrie(s)?,5,17.52,7.27,0.0046,0.69
Ecchymoses(s)?,212,175.94,1.82,0.0618,0.1718
[EÉ]criture(s)?,1710,356.05,0.46,0.1269,0.042
Ecthyma(s)?,8,23.56,6.24,0.0067,0.5921
[EÉ]lectro-diagnostic(s)?,42,123.67,6.43,0.0429,0.61
Embolie(s)?,79,120.32,3.34,0.0417,0.3158
Embarras\s+(de\s+)?parole,2,9.78,9.36,0.0018,0.888
Encéphalite(s)?,565,395.89,1.54,0.1413,0.1449
Endocardite(s)?,54,92.46,3.75,0.0317,0.3546
[EÉ]pidémie(s)?,725,214.04,0.65,0.0756,0.0602
[EÉ]pilepsie(s)?,3833,458.67,0.26,0.164,0.0235
[ÉE]pilepsie(s)? spinale(s)?,62,114.44,4.04,0.0396,0.3827
[EÉ]ruption(s)?,875,332.05,0.83,0.1183,0.0778
[EÉ]rythème(s)? pernio(s)?,1,4.89,8.28,0.0,0.7854
Escarre(s)? (de|des) la fesse(s)?,0,0,0,0,0
Escarre(s)? sacrée(s)?,18,50.6,6.08,0.0165,0.5768
[EÉ]tat(s)? de(s)? (mal|maux) épileptique(s)?,88,154.43,3.85,0.0541,0.3643
[EÉ]tat(s)? de(s)? (mal|maux) hystéro-épileptique(s)?,12,42.05,7.52,0.0134,0.7136
[EÉ]ther(s)?,665,313.55,1.04,0.1116,0.097
Excitabilité(s)?,1307,820.36,1.38,0.2948,0.1297
Expériences(s)?,4755,774.88,0.36,0.2783,0.0325
Faisceau(x)? racliculaire(s)? interne(s)?,0,0,0,0,0
Faradisation(s)?,254,331.93,2.87,0.1182,0.2715
Fève(s)? de(s)? Calabar(s)?,38,133.15,7.65,0.0464,0.7257
Fugue(s)?,208,199.37,2.11,0.0703,0.1987
Ganglion(s)?,4765,904.72,0.42,0.3253,0.0381
Géomorphisme(s)? cutané(s)?,0,0,0,0,0
Glossy skin(s)?,6,19.69,6.87,0.0053,0.6521
Globe(s)? hystérique(s)?,2,9.78,9.36,0.0018,0.888
Griffe(s)?,362,212.23,1.29,0.0749,0.121
Hématomyélie(s)?,72,157.13,4.78,0.055,0.4531
Hématome(s)?,32,74.41,5.07,0.0251,0.4804
Hémarthrose(s)?,19,62.34,7.11,0.0208,0.6741
Hémianesthésie(s)? hystérique(s)?,14,36.23,5.57,0.0113,0.5284
Hémianesthésie(s)? de(s)? cause(s)? encéphalique(s)?,0,0,0,0,0
Hémichorée(s)?,75,122.42,3.58,0.0425,0.3385
Hémiopie(s)?,60,120.0,4.38,0.0416,0.4147
Hémiparaplégie(s)?,12,33.73,6.03,0.0104,0.5721
Hémiplégie(s)?,2881,850.56,0.65,0.3057,0.0602
Hémorragie(s)?,841,727.46,1.9,0.2612,0.1793
Hémorragie(s)? digestive(s)?,0,0,0,0,0
Hémorragie(s)? interne(s)?,1,4.89,8.28,0.0,0.7854
Hémorragie(s)? intra-cérébrale(s)?,1,4.89,8.28,0.0,0.7854
Hémorragie(s)? méningée(s)?,107,288.16,5.91,0.1024,0.5602
Histologie(s)?,225,215.67,2.11,0.0762,0.1987
Hypérémié(s)?,23,53.48,5.05,0.0176,0.4786
Hyperesthésie(s)? ovarienne(s)?,64,188.44,6.45,0.0663,0.6115
Hypnose(s)?,2076,2771.46,2.94,1.0,0.2777
Hystérie(s)?,4954,1031.51,0.46,0.3711,0.042
Hystérie(s)? épileptiforme(s)?,9,34.13,8.07,0.0106,0.766
Hystérie(s)? ovarienne(s)?,0,0,0,0,0
