Regex,Frequency,TF-IDF,BM25,Normalized TF-IDF,Normalized BM25
Abasie(s)?,84,100.55,2.62,0.0459,0.2652
Achromatopsie(s)? hystérique(s)?,2,7.74,7.41,0.0015,0.7527
Amblyopie(s)? hystérique(s)?,22,49.76,4.91,0.0216,0.4982
Amyotrophie(s)? protopathique(s)?,0,0,0,0,0
Amyotrophie(s)? symptomatique(s)?,0,0,0,0,0
Analgésie(s)?,324,204.94,1.39,0.0959,0.1394
Anatomie(s)? macroscopique(s)?,4,12.71,6.5,0.0039,0.6608
Anesthésie(s)?,3105,605.17,0.43,0.2874,0.0414
Anévrisme(?:\s+de)?\s+Charcot(?:[-\s]*et[-\s]*|[-\s]*)Bouchard*,0,0,0,0,0
Anévrisme(s)? miliaire(s)?,0,0,0,0,0
Angioneuroses(s)?,0,0,0,0,0
Aphasie(s)?,1000,330.24,0.73,0.1558,0.0717
Apoplexie(s)? spinale(s)?,0,0,0,0,0
Artère(s)? cérébrale(s)? postérieure(s)?,25,62.12,5.4,0.0275,0.5484
Arthrite(s)? déformante(s)?,26,50.06,4.19,0.0218,0.4246
Arthropathie(s)? de Charcot,0,0,0,0,0
Arthropathie(s)? des ataxiques,1,4.56,7.72,0.0,0.7852
Arthropathie(s)? tabétique(s)?,117,225.26,4.22,0.1056,0.4284
Articulations(s)?,1217,284.31,0.51,0.1338,0.05
Astasie(s)?,83,111.67,2.95,0.0512,0.2984
Ataxie(s)? locomotrice(s)?,149,130.44,1.92,0.0602,0.1936
Ataxie(s)? locomotrice(s)? progressive(s)?,15,32.5,4.67,0.0134,0.4741
Ataxie(s)? progressive(s)?,1,4.56,7.72,0.0,0.7852
Athétose(s)?,452,418.9,2.04,0.1982,0.2054
Atrophie(s)? musculaire(s)? progressive(s)?,168,240.05,3.14,0.1127,0.3176
Attaque(s)?-Accès,0,0,0,0,0
Attaque(s)? apoplectiforme(s)?,27,46.74,3.77,0.0202,0.3817
Attaque(s)? hystérique(s)?,100,87.55,1.92,0.0397,0.1934
Attitude(s)? passionnelles(s)?,40,71.67,3.91,0.0321,0.3966
Attraction(s)?,68,86.26,2.78,0.0391,0.2809
Aura(s)? hystérique(s)?,13,38.41,6.35,0.0162,0.6455
Automatisme(s)? ambulatoire(s)?,41,81.98,4.37,0.037,0.4429
Avant-mur(s)?,250,418.49,3.68,0.198,0.3727
Bromure(s)? de camphre(s)?,168,219.45,2.87,0.1028,0.2901
Bulbe(s)? rachidien(s)?,97,162.38,3.67,0.0755,0.372
Capsule(s)? interne(s)?,1841,1658.35,1.98,0.7912,0.1997
Capsule(s)? surrénale(s)?,129,116.2,1.98,0.0534,0.1992
Catalepsie(s)?,690,423.04,1.35,0.2002,0.1351
Cellule(s)? nerveuse(s)?,913,370.19,0.89,0.1749,0.0886
Cerveau(x)?,5403,56.58,0.02,0.0249,0.0
Charcot-Bouchard,17,35.35,4.5,0.0147,0.456
Charcot-Féré,0,0,0,0,0
Charcot-Marie,204,392.76,4.23,0.1857,0.4289
Charcot-Wilbrand,0,0,0,0,0
Chloroforme(s)?,490,120.96,0.54,0.0557,0.053
Chorée(s)?,1100,228.4,0.46,0.1071,0.0442
Chorée(s)?(?:\s+rythmique(s)?)?(?:\s+hystérique(s)?)?,1100,228.4,0.46,0.1071,0.0442
Cicatrice(s)? vicieuse(s)?,1,4.56,7.72,0.0,0.7852
Cirrhoses?( des muscles?| du muscle)?,74,102.59,3.04,0.0469,0.3074
Clonus,258,260.32,2.22,0.1224,0.2237
Cœlialgie(s)?,0,0,0,0,0
Compression(s)? de(s)? l'ovaire(s)?,10,26.18,5.59,0.0103,0.5679
Congestion(s)?,973,141.58,0.32,0.0656,0.0303
Contractilité(s)? électrique(s)?,52,90.02,3.79,0.0409,0.3837
Contracture(s)? hystérique(s)? permanente(s)?,2,7.74,7.41,0.0015,0.7527
Contracture(s)? permanente(s)?,45,64.3,3.12,0.0286,0.316
Contracture(s)? tardive(s)?,26,68.08,5.69,0.0304,0.5783
Contracture(s)? de(s)? uretère(s)?,0,0,0,0,0
Coupe(s)? de Charcot,0,0,0,0,0
Coupe(s)? verticale(s)?,266,309.4,2.56,0.1458,0.2583
Convulsionnaire(s)?,36,51.44,3.12,0.0224,0.3155
Convulsion(s)?,3362,330.96,0.22,0.1562,0.0197
Corde(s)? (du|des) tympan(s)?,15,41.59,5.98,0.0177,0.6074
Corps granuleux,127,156.48,2.7,0.0727,0.2734
Corps opto-strié(s)?,66,118.26,3.92,0.0544,0.3977
