Regex,Frequency,TF-IDF,BM25,Normalized TF-IDF,Normalized BM25
Abasie(s)?,84,127.94,3.34,0.0445,0.3325
Achromatopsie(s)? hystérique(s)?,2,8.39,8.03,0.0013,0.802
Amblyopie(s)? hystérique(s)?,22,56.93,5.62,0.0188,0.5605
Amyotrophie(s)? protopathique(s)?,0,0,0,0,0
Amyotrophie(s)? symptomatique(s)?,0,0,0,0,0
Analgésie(s)?,334,288.91,1.9,0.1027,0.1886
Anatomie(s)? macroscopique(s)?,4,14.02,7.17,0.0033,0.7161
Anesthésie(s)?,3219,950.34,0.65,0.3417,0.0633
Anévrisme(s)? miliaire(s)?,0,0,0,0,0
Angioneuroses(s)?,0,0,0,0,0
Aphasie(s)?,1020,625.96,1.35,0.2245,0.1334
Apoplexie(s)? spinale(s)?,1,4.89,8.28,0.0,0.8266
Artère(s)? cérébrale(s)? postérieure(s)?,26,70.02,5.86,0.0235,0.5846
Arthrite(s)? déformante(s)?,26,58.53,4.9,0.0194,0.4884
Arthropathie(s)? des ataxiques,6,22.75,7.94,0.0065,0.7935
Arthropathie(s)? tabétique(s)?,117,263.4,4.94,0.0934,0.4928
Articulations(s)?,1738,495.64,0.63,0.1774,0.0611
Astasie(s)?,84,137.11,3.58,0.0478,0.3565
Ataxie(s)? locomotrice(s)?,173,195.34,2.48,0.0688,0.2465
Ataxie(s)? locomotrice(s)? progressive(s)?,23,51.78,4.89,0.0169,0.4877
Ataxie(s)? progressive(s)?,1,4.89,8.28,0.0,0.8266
Athétose(s)?,452,566.25,2.75,0.2029,0.274
Atrophie(s)? musculaire(s)? progressive(s)?,197,314.12,3.5,0.1118,0.3489
Attaque(s)?-Accès,3,14.67,9.78,0.0035,0.9772
Attaque(s)? apoplectiforme(s)?,31,60.32,4.24,0.02,0.4227
Attaque(s)? hystérique(s)?,111,122.78,2.43,0.0426,0.2412
Attitude(s)? passionnelles(s)?,40,84.71,4.62,0.0289,0.4612
Attraction(s)?,384,375.68,2.15,0.134,0.2136
Aura(s)? hystérique(s)?,14,43.38,6.67,0.0139,0.6663
Avant-mur(s)?,251,488.42,4.28,0.1748,0.4263
Bromure(s)? de camphre(s)?,183,291.8,3.5,0.1037,0.3489
Bulbe(s)? rachidien(s)?,150,256.84,3.76,0.0911,0.3746
Capsule(s)? interne(s)?,1843,2168.8,2.59,0.7822,0.2574
Capsule(s)? surrénale(s)?,150,165.92,2.43,0.0582,0.2414
Catalepsie(s)?,977,641.15,1.44,0.23,0.1428
Cellule(s)? nerveuse(s)?,942,618.18,1.44,0.2217,0.1428
Cerveau(x)?,9029,205.99,0.05,0.0727,0.0034
Chloroforme(s)?,638,201.38,0.69,0.071,0.0678
Chorée(s)?,1149,374.58,0.72,0.1336,0.0701
Chorée(s)? rythmique(s)? hystérique(s)?,0,0,0,0,0
Cicatrice(s)? vicieuse(s)?,25,77.46,6.74,0.0262,0.6725
