Regex,Frequency,TF-IDF,BM25,Normalized TF-IDF,Normalized BM25
Abasie(s)?,332,230.12,1.52,0.7022,0.1839
Achromatopsie(s)? hystérique(s)?,10,26.1,5.57,0.1225,0.6358
Amblyopie(s)? hystérique(s)?,46,58.65,2.79,0.215,0.3248
Amyotrophie(s)? protopathique(s)?,4,12.48,6.39,0.0839,0.7263
Amyotrophie(s)? symptomatique(s)?,2,7.05,6.75,0.0684,0.7664
Analgésie(s)?,587,93.37,0.35,0.3137,0.053
Anatomie(s)? macroscopique(s)?,6,17.0,5.94,0.0967,0.6761
Anesthésie(s)?,3972,118.58,0.07,0.3853,0.0213
Anévrisme(s)? miliaire(s)?,6,14.57,5.09,0.0898,0.5813
Angioneuroses(s)?,1,4.22,7.14,0.0604,0.8104
Aphasie(s)?,1722,104.4,0.13,0.345,0.0289
Apoplexie(s)? spinale(s)?,3,10.58,7.05,0.0784,0.8006
Artère(s)? cérébrale(s)? postérieure(s)?,22,30.5,3.01,0.135,0.3496
Arthrite(s)? déformante(s)?,31,53.77,3.78,0.2012,0.4355
Arthropathie(s)? de Charcot,2,7.05,6.75,0.0684,0.7664
Arthropathie(s)? des ataxiques,38,86.4,4.96,0.2939,0.5675
Arthropathie(s)? tabétique(s)?,31,41.2,2.9,0.1655,0.337
Articulations(s)?,799,36.05,0.1,0.1508,0.0251
Astasie(s)?,246,177.86,1.59,0.5537,0.1912
Ataxie(s)? locomotrice(s)?,568,120.52,0.47,0.3908,0.066
Ataxie(s)? locomotrice(s)? progressive(s)?,144,127.77,1.95,0.4114,0.2313
Ataxie(s)? progressive(s)?,5,14.17,5.88,0.0886,0.6698
Athétose(s)?,233,62.51,0.59,0.226,0.0797
Atrophie(s)? musculaire(s)? progressive(s)?,241,64.65,0.59,0.2321,0.0797
Attaque(s)?-Accès,6,25.32,8.84,0.1203,1.0
Attaque(s)? apoplectiforme(s)?,76,40.33,1.16,0.163,0.1437
Attaque(s)? hystérique(s)?,256,162.81,1.4,0.511,0.1699
Attitude(s)? passionnelles(s)?,220,280.52,2.8,0.8454,0.3264
Attraction(s)?,54,54.03,2.19,0.2019,0.2582
Aura(s)? hystérique(s)?,38,72.84,4.18,0.2553,0.4807
Avant-mur(s)?,84,91.06,2.38,0.3071,0.279
Bromure(s)? de camphre(s)?,69,77.86,2.47,0.2696,0.2897
Bulbe(s)? rachidien(s)?,46,66.56,3.16,0.2375,0.3667
Capsule(s)? interne(s)?,740,92.62,0.28,0.3115,0.0447
Capsule(s)? surrénale(s)?,68,70.82,2.28,0.2496,0.2684
Catalepsie(s)?,694,186.18,0.59,0.5773,0.0798
Cellule(s)? nerveuse(s)?,1506,91.3,0.13,0.3078,0.0289
Cerveau(x)?,6585,0.0,0.0,0.0484,0.014
Chloroforme(s)?,324,51.54,0.35,0.1948,0.053
Chorée(s)?,1709,51.02,0.07,0.1933,0.0213
Chorée(s)?(?:\s+rythmique(s)?)?(?:\s+hystérique(s)?)?,1709,51.02,0.07,0.1933,0.0213
Cicatrice(s)? vicieuse(s)?,5,15.6,6.48,0.0927,0.7364
Cirrhoses?( des muscles?| du muscle)?,415,199.96,1.06,0.6165,0.1321
Clonus,283,92.74,0.72,0.3119,0.0943
Cœlialgie(s)?,3,12.66,8.44,0.0844,0.9552
Compression(s)? de(s)? l'ovaire(s)?,35,70.78,4.41,0.2495,0.506
Congestion(s)?,919,41.47,0.1,0.1662,0.0251
Contractilité(s)? électrique(s)?,101,97.1,2.11,0.3243,0.2492
Contracture(s)? hystérique(s)? permanente(s)?,9,25.5,6.03,0.1208,0.6867
