Regex,Frequency,TF-IDF,BM25,Normalized TF-IDF,Normalized BM25
Abasie(s)?,84,0.0005,42.9897,0.0292,0.6473
Achromatopsie(s)? hystérique(s)?,2,0.0,5.2704,0.0016,0.0794
Amblyopie(s)? hystérique(s)?,22,0.0002,25.0254,0.0135,0.3768
Amyotrophie(s)? protopathique(s)?,0,0,0,0.0,0.0
Amyotrophie(s)? symptomatique(s)?,0,0,0,0.0,0.0
Analgésie(s)?,324,0.0013,51.4942,0.076,0.7753
Anatomie(s)? macroscopique(s)?,4,0.0001,11.049,0.0038,0.1664
Anesthésie(s)?,3105,0.0037,30.538,0.2076,0.4598
Anévrisme(?:\s+de)?\s+Charcot(?:[-\s]*et[-\s]*|[-\s]*)Bouchard*,0,0,0,0.0,0.0
Anévrisme(s)? miliaire(s)?,0,0,0,0.0,0.0
Angioneuroses(s)?,0,0,0,0.0,0.0
Aphasie(s)?,1000,0.0017,38.259,0.0975,0.576
Apoplexie(s)? spinale(s)?,0,0,0,0.0,0.0
Artère(s)? cérébrale(s)? postérieure(s)?,25,0.0004,26.1042,0.0229,0.393
Arthrite(s)? déformante(s)?,26,0.0003,31.7075,0.0161,0.4774
Arthropathie(s)? de Charcot,0,0,0,0.0,0.0
Arthropathie(s)? des ataxiques,1,0.0,5.2027,0.0026,0.0783
Arthropathie(s)? tabétique(s)?,117,0.0014,43.7016,0.0772,0.658
Articulations(s)?,1217,0.0016,30.5226,0.0903,0.4596
Astasie(s)?,83,0.0006,43.7943,0.0349,0.6594
Ataxie(s)? locomotrice(s)?,149,0.0009,49.0272,0.0516,0.7382
Ataxie(s)? locomotrice(s)? progressive(s)?,15,0.0002,24.5068,0.0111,0.369
Ataxie(s)? progressive(s)?,1,0.0,3.0917,0.0008,0.0465
Athétose(s)?,452,0.0029,52.1153,0.1664,0.7847
Atrophie(s)? musculaire(s)? progressive(s)?,168,0.0012,47.9281,0.0673,0.7216
Attaque(s)?-Accès,0,0,0,0.0,0.0
Attaque(s)? apoplectiforme(s)?,27,0.0003,33.6926,0.0184,0.5073
Attaque(s)? hystérique(s)?,100,0.0007,45.9779,0.0412,0.6923
Attitude(s)? passionnelles(s)?,40,0.0008,34.6429,0.0444,0.5216
Attraction(s)?,68,0.0005,44.0637,0.0299,0.6634
Aura(s)? hystérique(s)?,13,0.0004,21.8375,0.0201,0.3288
Automatisme(s)? ambulatoire(s)?,41,0.0005,32.5365,0.0273,0.4899
Avant-mur(s)?,250,0.0022,43.7158,0.127,0.6582
Bromure(s)? de camphre(s)?,168,0.0032,55.6761,0.1825,0.8383
Bulbe(s)? rachidien(s)?,97,0.0015,38.698,0.0857,0.5826
Capsule(s)? interne(s)?,1841,0.0077,56.2118,0.4402,0.8463
Capsule(s)? surrénale(s)?,129,0.0008,49.1783,0.0427,0.7404
Catalepsie(s)?,690,0.003,52.5792,0.1722,0.7916
Cellule(s)? nerveuse(s)?,913,0.0022,43.9629,0.1252,0.6619
Cerveau(x)?,5403,0.0005,2.0764,0.0273,0.0313
Charcot-Bouchard,17,0.0002,24.8205,0.0116,0.3737
Charcot-Féré,0,0,0,0.0,0.0
Charcot-Marie,204,0.0016,44.3758,0.0937,0.6681
Charcot-Wilbrand,0,0,0,0.0,0.0
Chloroforme(s)?,490,0.001,29.744,0.0593,0.4478
Chorée(s)?,1100,0.0015,28.4792,0.0853,0.4288
Chorée(s)?(?:\s+rythmique(s)?)?(?:\s+hystérique(s)?)?,1100,0.0015,28.4792,0.0853,0.4288
Cicatrice(s)? vicieuse(s)?,1,0.0,2.0769,0.0005,0.0313
Cirrhoses?( des muscles?| du muscle)?,74,0.0007,41.3573,0.0386,0.6227
Clonus,258,0.0012,53.824,0.0678,0.8104
Cœlialgie(s)?,0,0,0,0.0,0.0
Compression(s)? de(s)? l'ovaire(s)?,10,0.0003,22.1993,0.0197,0.3342
Congestion(s)?,973,0.0013,21.8973,0.0736,0.3297
Contractilité(s)? électrique(s)?,52,0.0006,38.5809,0.0322,0.5809
Contracture(s)? hystérique(s)? permanente(s)?,2,0.0001,8.4551,0.0045,0.1273
Contracture(s)? permanente(s)?,45,0.0005,40.0972,0.0258,0.6037
Contracture(s)? tardive(s)?,26,0.0004,24.7175,0.0222,0.3722
Contracture(s)? de(s)? uretère(s)?,0,0,0,0.0,0.0
Coupe(s)? de Charcot,0,0,0,0.0,0.0
Coupe(s)? verticale(s)?,133,0.0092,23.5013,0.523,0.3538
Convulsionnaire(s)?,36,0.0004,36.7545,0.0206,0.5534
Convulsion(s)?,3362,0.0036,17.258,0.207,0.2598
Corde(s)? (du|des) tympan(s)?,15,0.0014,21.7425,0.0805,0.3274
Corps granuleux,127,0.0012,49.7176,0.0687,0.7486
Corps opto-strié(s)?,66,0.0006,38.5991,0.0351,0.5812
Courant(s)? électriques(s)?,41,0.0003,37.5756,0.0184,0.5657
Crise(s)? gastrique(s)?,143,0.001,48.6854,0.0541,0.733
Danse(s)?,600,0.0009,23.4207,0.0486,0.3526
Décubitus aigu(s)?,1,0.0,4.4022,0.0017,0.0663
Dégénération(s)? cireuse(s)?,0,0,0,0.0,0.0
Délire(s)?,1895,0.0015,16.6971,0.0839,0.2514
Démarche(s)?,787,0.0009,25.8068,0.0507,0.3886
Diplopie(s)?,362,0.0013,49.8299,0.0746,0.7502
Douleurs(s)?,5679,0.0032,17.8099,0.1811,0.2681
Dynamométrie(s)?,5,0.0001,11.2061,0.0042,0.1687
Ecchymoses(s)?,148,0.0009,42.9708,0.052,0.647
[EÉ]criture(s)?,1461,0.0013,20.5574,0.0735,0.3095
Ecthyma(s)?,5,0.0001,14.5185,0.0077,0.2186
