Regex,Frequency,TF-IDF,BM25,Normalized TF-IDF,Normalized BM25
Abasie(s)?,332,0.0014,36.9575,0.8521,0.9805
Achromatopsie(s)? hystérique(s)?,10,0.0001,14.8735,0.0703,0.3946
Amaigrissement(s)?,323,0.0002,9.2106,0.1049,0.2444
Amblyopie(s)? hystérique(s)?,46,0.0004,30.7793,0.2172,0.8166
Amyotrophie(s)? Charcot-Marie,5,0.0001,11.6307,0.0408,0.3086
Amyotrophie(s)? protopathique(s)?,4,0.0001,11.5139,0.0614,0.3055
Amyotrophie(s)? symptomatique(s)?,2,0.0,7.0878,0.025,0.188
Analgésie(s)?,587,0.0005,15.9451,0.3171,0.423
Anatomie(s)? macroscopique(s)?,6,0.0001,14.0277,0.0746,0.3722
Anesthésie(s)?,3972,0.0007,4.163,0.4161,0.1105
Anévr[iy]sme(s)?,621,0.0012,22.9651,0.7498,0.6093
Anévr[iy]sme(s)? de Charcot et Bouchard,0,0,0,0.0,0.0
Anévr[iy]sme(s)? de Charcot-Bouchard,0,0,0,0.0,0.0
Anévr[iy]sme(s)? de(s)? artère(s)?,2,0.0,6.7261,0.0218,0.1785
Anévrisme(?:\s+de)?\s+Charcot(?:[-\s]*et[-\s]*|[-\s]*)Bouchard*,0,0,0,0.0,0.0
Anévrisme(s)? miliaire(s)?,6,0.0001,14.078,0.0475,0.3735
Angioneuroses(s)?,1,0.0,4.5293,0.0175,0.1202
Aphasie(s)?,1722,0.0006,7.7916,0.363,0.2067
Apoplexie(s)? spinale(s)?,3,0.0001,8.3564,0.0395,0.2217
Artère(s)? cérébrale(s)? postérieure(s)?,22,0.0002,25.9531,0.1168,0.6886
Arthrite(s)? déformante(s)?,31,0.0003,24.8423,0.1835,0.6591
Arthropathie(s)? de Charcot,2,0.0,6.6021,0.0209,0.1752
Arthropathie(s)? dégénérative(s)? progressive(s)?,0,0,0,0.0,0.0
Arthropathie(s)? des ataxiques,38,0.0006,22.2791,0.3454,0.5911
Arthropathie(s)? tabétique(s)?,31,0.0003,26.0282,0.1646,0.6906
Articulations(s)?,799,0.0002,5.1412,0.1266,0.1364
Astasie(s)?,246,0.0011,37.6912,0.7029,1.0
Astasie(s)?-abasie(s)?,106,0.0005,32.9195,0.332,0.8734
Ataxie(s)? locomotrice(s)?,568,0.0009,20.5508,0.5752,0.5452
Ataxie(s)? locomotrice(s)? progressive(s)?,144,0.0015,37.285,0.929,0.9892
Ataxie(s)? progressive(s)?,5,0.0001,12.4361,0.0504,0.3299
