Nom du fichier,Année(s) extraite(s)
CN_000070_012_texte.txt.xml,1901
CN_000044_016_texte.txt.xml,1888
CN_000052_024_texte.txt.xml,1892
CN_000076_018_texte.txt.xml,1904
CN_000032_004_texte.txt.xml,1882
CN_000067_009_texte.txt.xml,1900
CN_000061_003_texte.txt.xml,1897
CN_000065_007_texte.txt.xml,1899
CL_000001_008_texte.txt.xml,1889
CN_000069_011_texte.txt.xml,1901
CN_000059_001_texte.txt.xml,1896
CN_000046_018_texte.txt.xml,1889
CN_000074_016_texte.txt.xml,1903
CN_000040_012_texte.txt.xml,1886
CN_000062_004_texte.txt.xml,1897
CN_000078_020_texte.txt.xml,1905
CN_000051_023_texte.txt.xml,1892
CL_000001_006_texte.txt.xml,1891
CN_000031_003_texte.txt.xml,1882
CN_000057_029_texte.txt.xml,1895
CN_000073_015_texte.txt.xml,1903
CL_000001_002_texte.txt.xml,1886
CN_000037_009_texte.txt.xml,1885
CL_000005_001_texte.txt.xml,1892
CN_000039_011_texte.txt.xml,1886
CN_000043_015_texte.txt.xml,1888
CL_000001_005_texte.txt.xml,1888
CL_000005_002_texte.txt.xml,1893
CL_000001_001_texte.txt.xml,1892
CN_000055_027_texte.txt.xml,1894
CN_000035_007_texte.txt.xml,1884
CN_000048_020_texte.txt.xml,1890
CL_000004_001_texte.txt.xml,1881
CL_000001_004_texte.txt.xml,1893
CL_000009_002_texte.txt.xml,1889
CN_000063_005_texte.txt.xml,1898
CN_000079_021_texte.txt.xml,1906
CN_000036_008_texte.txt.xml,1884
CN_000056_028_texte.txt.xml,1894
CN_000072_014_texte.txt.xml,1902
CN_000030_002_texte.txt.xml,1881
CN_000080_022_texte.txt.xml,1906
CN_000050_022_texte.txt.xml,1891
CN_000034_006_texte.txt.xml,1883
CN_000054_026_texte.txt.xml,1893
CN_000042_014_texte.txt.xml,1887
CN_000058_030_texte.txt.xml,1895
CN_000038_010_texte.txt.xml,1885
CN_000082_002_texte.txt.xml,1907
CL_000001_003_texte.txt.xml,1890
CN_000049_021_texte.txt.xml,1891
CN_000029_001_texte.txt.xml,1881
CL_000001_007_texte.txt.xml,1890
CN_000033_005_texte.txt.xml,1883
CN_000053_025_texte.txt.xml,1893
CN_000077_019_texte.txt.xml,1905
CN_000045_017_texte.txt.xml,1889
CN_000071_013_texte.txt.xml,1902
CL_000001_009_texte.txt.xml,1890
CO_000092_010_texte.txt.xml,1891
CN_000060_002_texte.txt.xml,1896
CN_000066_008_texte.txt.xml,1899
CN_000068_010_texte.txt.xml,1900
CN_000064_006_texte.txt.xml,1898
CN_000041_013_texte.txt.xml,1887
CN_000075_017_texte.txt.xml,1904
CN_000047_019_texte.txt.xml,1890
CN_000081_001_texte.txt.xml,1906
